,address/zipcode
0,10463.0
1,10471.0
2,10463.0
3,10463.0
5,10034.0
6,10471.0
7,10471.0
8,10471.0
9,10463.0
10,10471.0
11,10463.0
12,10471.0
13,10463.0
14,10471.0
15,10471.0
16,10471.0
18,10463.0
19,10463.0
20,10471.0
21,10471.0
22,10463.0
23,10471.0
25,10471.0
26,10463.0
28,10034.0
31,10463.0
33,10471.0
34,10471.0
35,10463.0
36,10463.0
37,10034.0
38,10034.0
39,10471.0
41,10463.0
42,10463.0
43,10463.0
44,10463.0
45,10034.0
47,10463.0
49,10463.0
50,10463.0
51,10463.0
52,10463.0
53,10463.0
56,10463.0
57,10463.0
60,10471.0
61,10463.0
62,10463.0
64,10463.0
65,10471.0
66,10463.0
69,10471.0
70,10471.0
71,10463.0
72,10471.0
73,10463.0
74,10463.0
75,10463.0
76,10463.0
77,10471.0
79,10471.0
80,10034.0
81,10463.0
82,10034.0
83,10034.0
85,10463.0
88,10463.0
89,10463.0
91,10463.0
92,10463.0
96,10463.0
98,10463.0
99,10471.0
100,10463.0
101,10463.0
102,10463.0
104,10463.0
106,10034.0
107,10034.0
108,10463.0
109,10463.0
110,10471.0
111,10463.0
112,10034.0
113,10471.0
119,10463.0
120,10471.0
123,10471.0
125,10463.0
126,10463.0
127,10463.0
130,10463.0
132,10463.0
134,10471.0
135,10463.0
137,10471.0
139,10463.0
140,10463.0
141,10463.0
142,10471.0
143,10463.0
148,10471.0
149,10463.0
151,10463.0
152,10463.0
154,10463.0
156,10034.0
158,10034.0
160,10471.0
161,10463.0
162,10471.0
165,10471.0
168,10463.0
170,10463.0
171,10463.0
173,10463.0
175,10463.0
176,10034.0
178,10463.0
179,10463.0
180,10471.0
181,10463.0
182,10034.0
184,10463.0
188,10463.0
190,10034.0
191,10471.0
194,10466.0
195,10469.0
196,10466.0
197,10469.0
198,10469.0
199,10466.0
200,10469.0
202,10469.0
203,10469.0
204,10466.0
206,10469.0
207,10466.0
208,10469.0
210,10469.0
214,11414.0
215,11414.0
216,11693.0
218,11693.0
220,11693.0
221,11693.0
223,11693.0
226,11693.0
227,11414.0
228,11691.0
229,11414.0
231,11414.0
233,11691.0
234,11414.0
237,11691.0
238,11691.0
240,11691.0
243,11691.0
244,11414.0
245,11422.0
246,11691.0
249,11691.0
251,11691.0
252,11414.0
254,10003.0
257,11691.0
260,11414.0
261,11691.0
263,11691.0
265,11691.0
267,11422.0
268,11414.0
269,11422.0
270,11693.0
275,11691.0
276,11414.0
279,11422.0
281,11691.0
284,11414.0
285,11414.0
286,11691.0
288,11691.0
289,11693.0
291,11691.0
293,11693.0
294,11422.0
295,11414.0
296,11414.0
297,11691.0
298,11693.0
300,11414.0
302,11414.0
306,11693.0
308,11691.0
309,11693.0
311,11694.0
313,11694.0
317,11414.0
318,11691.0
319,11414.0
321,11691.0
322,11694.0
324,11691.0
326,11693.0
328,11694.0
329,11414.0
331,11691.0
333,11694.0
335,11693.0
336,11693.0
337,11694.0
341,11693.0
344,11694.0
345,11694.0
346,11691.0
347,11414.0
351,11691.0
353,11694.0
354,11691.0
355,11693.0
356,11694.0
357,11691.0
358,11693.0
359,11694.0
360,11691.0
361,11414.0
362,11691.0
363,11414.0
364,11694.0
365,11691.0
366,11414.0
368,11691.0
370,11691.0
371,11414.0
372,11694.0
373,11691.0
374,11694.0
375,11414.0
376,11691.0
378,11414.0
379,11691.0
382,11693.0
385,11414.0
386,11694.0
388,11691.0
389,11414.0
390,11694.0
392,11691.0
394,11694.0
395,11691.0
396,11694.0
399,11694.0
400,11693.0
401,11694.0
402,11691.0
403,11414.0
404,11694.0
407,11414.0
408,11691.0
410,11693.0
412,11691.0
413,11414.0
414,11691.0
415,11414.0
416,11694.0
418,11694.0
419,11414.0
422,11693.0
424,11694.0
425,11691.0
427,11694.0
431,11414.0
432,11691.0
434,11694.0
435,11693.0
436,11691.0
437,11691.0
438,11694.0
439,11691.0
441,11691.0
446,11691.0
447,11691.0
449,11414.0
452,11691.0
453,11414.0
454,11691.0
459,11694.0
462,11693.0
464,11691.0
466,11694.0
467,11691.0
468,11691.0
469,11693.0
470,11694.0
473,11694.0
474,11414.0
476,11691.0
477,11694.0
478,11693.0
479,11691.0
482,11691.0
483,11414.0
484,11694.0
485,11691.0
486,11691.0
487,11693.0
488,11691.0
490,11691.0
491,11693.0
493,11694.0
494,11691.0
